腿 搁在办公桌上,办公桌
在旁人看来你好像活的十分洒脱,洒脱
但其实并非如此
你停止不了犯错,犯错
也许你该静下心来听听他们怎么说,听听
他们总说恋爱的人少了一些心机,心机
却不知哪里多了几分细腻,不知
他们总说你曾经一直保持着神秘,保持
现在似乎变得比较有趣,变得
他们总说×6
要怎么做才会fine
苦尽甘来
逍遥自在
什么样的人生最精彩,精彩
当列车开动的一刹那,开动
心里不免热血澎湃,澎湃
拨通和爱人的电话,拨通
一字一句都太无奈
总抱怨太 无奈,抱怨
谁的人生不 失败,人生
还总是倔 强的像个未出世的小孩,出世
分不清什么是wrong
更不懂什么是right
直到自己所追求的事物都慢慢没了情怀,情怀
不要对朋友不理不睬 友谊出现了雾霾,友谊
积攒多年的感情不能被任性给破坏,积攒
那就烦恼抛开 把忧愁全都打败,抛开
珍惜现在拥有的 不要再刻意去伤害,刻意
baby 你的甜美 是我喜欢的模样,模样
我明白你的珍贵 就像是我的心脏,心脏
带着酒精的香味 红色的情趣服装,情趣
你就像朵玫瑰 脖子上挂着铃铛,朵玫瑰
就让我帮你升温陪你过圣诞 hey,升温
但是我有可能会显得不耐烦,显得
因为我想对你说
我想对你说
冻的感冒了不买药,买药
自己成为了自己do myself,成为
不管圣诞节还是平安夜每一天都过得像你生日,平安夜
给你唱首歌昨晚熬夜写看我的眼神多真挚,唱首歌
god damn 又到Christmas
我的礼物还没准备呢,礼物
我该送什么？哦对了
我要干点别人不会的,干点
圣诞快乐她们乐的快,圣诞快乐
三国杀麻将扑克牌,扑克牌
等我送走了上一个我就来~,了上
baby 你的甜美 是我喜欢的模样,模样
我明白你的珍贵 就像是我的心脏,心脏
你就像朵玫瑰 脖子上挂着铃铛,朵玫瑰
但是我有可能会显得不耐烦,显得
因为我想对你说
我想对你说
他出生在97年十月 下着雪的那个暖冬,暖冬
他第一次哭或许是对这个世界太过陌生,陌生
但他那时笑的不勉强 也不为任何人才流泪,流泪
他在刚经历过痛苦的母亲的怀抱里安详的入睡,安详
那是他最幸福的时光 虽然很短暂,时光
却没人骂他没出息 是傻逼 或者懒蛋
他在幼儿园从来不羡慕别人会开车接小孩回家,幼儿园
他爸爸把他举过头顶那画面停刻在夕阳下,停刻
他6岁那年 渐渐开始懂事,懂事
帮爸爸买过烟 也帮妈妈洗过脚,爸爸
他开始明白小时候听的格林童话故事,格林童话
教会他做人告诉他滴水之恩当涌泉相报,涌泉相报
又过了5年 11岁的他懂得了人生的含义,含义
这世界告诉他生命里不只有游戏机和玩具,游戏机
他的初恋不喜欢他喜欢的流行歌,流行歌
但是他搞不懂这世界上怎么有那么多为什么,世界
14岁的他第一次叛逆离开家,叛逆
在他最需要帮助的时候 眼里的朋友却离开他,朋友
在午夜的街头他哭着喊着想要去见家人,家人
他懂了这世界上永远为你敞开的只有家门,敞开
15岁的他他奇怪 为什么眼眶会红,眼眶
因为他懂得了爱 也懂了什么叫疼,了爱
当别人问他伤害过你的人 你作何感想,作何
他告诉他那不是伤害 那叫做成长,叫做
16岁他意识到自己肩膀上的重担,重担
他不只是为自己而活因为有了太多羁绊,羁绊
面对家人的要求 也不在是借酒消愁,家人
而是想努力的达到,达到
不再让谁失望就把机会拿到,失望
他并不富裕但是不贫穷 虽年轻但是并不平庸
他有了自己的梦想 并且想法天马行空,天马行空
有人告诉他无法去改变命运的编排,编排
但他不屑一顾说自己是幸运的天才,天才
当你搭上了这班生命时光列车,搭上
在轮回之前 身边的旅客越来越来,轮回
你的困惑和问题都藏在这节车厢里面,节车厢
只有你自己才能找到真正的问题答案,答案
这首歌我写给自己 也同样写给你,写给
你是否也跟我一样有相同或差不多的经历,经历
我想要告诉我自己奉劝我自己 千万别怕输,奉劝
哪怕这世界坍塌 人生太复杂 我也不服输,坍塌
那就让暴风雨下吧 像子弹打在我脸上,暴风雨
让别人人骂吧 我自己坚持去远航,远航
就算给我时光隧道 重新来过我还是这样,时光隧道
把我压倒就怎样 只要不死我就能爬起,压倒
要做就做最大让我到达巅峰,巅峰
2015张雪飞我活在十八岁的天空,张雪飞
darling为什么×2
为什么总是让我不能自己
他们说这就是爱情的甜蜜,爱情
冬天有你温暖我的手,温暖
在路灯下亲吻额头,亲吻
不讲道理的妞根本没为什么
喜欢喝加冰的可乐,加冰
你说你不爱喝酒,喝酒
喜欢被你拉着手,着手
大街小巷牵着走
无理取闹的脾气都是被你宠的,脾气
你说我与生俱来的美丽只属于你呢,美丽
什么都由你说
反正都不听你的
不去想怎么过
反正时间还有很多,时间
你说darling你别担心,担心
你会安排好的,安排
你想吃饱的时候都是我喂饱的,喂饱
2do为什么×2
我总是把你猜不透,猜不透
为什么我感觉总是被你拖着走,感觉
每次你撒气的理由,撒气
说我是气头,气头
我承认我总是偷懒洗碗时会找借口,洗碗
明白你的心Babe我会说情话,情话
要了我的命床上再没别的她,床上
是你特别紧才会用力抓,用力
没有没有,没有
我只会跟你走,跟你走
也会亲吻你额头,亲吻
牵手牵手
捧着你心里抖
对你把情话说个够,情话
我说没有那么多为什么,没有
我说没有那么多为什么,没有
babe你别想太多
因为我是你的mr.right
从不会忘记我们纪念日,纪念日
不再惹你生气对你发过的誓,发过
玩着小游戏做我们喜欢的事,小游戏
Be my shawty 为你干着大事,大事
你说就只想我陪在你身边
我们打打闹闹嬉笑不用解释心照不宣,嬉笑
每天只想跟你懒呆一天
不会感到乏味每天都很新鲜,新鲜
喜欢你的笑因为美若天仙,美若天仙
喜欢跟你抱因为可以停顿时间,停顿
口里吃着甜甜圈 把你手牵
为了你我要戒酒少抽烟 因为你讨厌,戒酒
为了你我要赚上很多钱 让你买很多高跟鞋游遍全世界,游遍
和你在一起的时间总是特别快,时间
一点都不虚假只是太可爱,可爱
想为你熬汤做一桌菜,熬汤
一切开心的时候都想有你在,开心
珍惜有你的夜晚
和朋友一起聚会有你的陪伴,陪伴
为什么现在自己特别勤快
我愿意让你懒其他我也懒得管,懒得
你的姐妹一直Talk about me,姐妹
不知道我表情中的含义如此亲密,含义
说我坏至少没有心机耍雕虫小技,雕虫小技
当你映入我眼天空变成蓝色,映入
这是我们炽热的时候让你不再苦涩,时候
所有我都愿意为你不会吝啬,愿意
在你未来字典只剩快乐 baby I Roll Up.,字典
还记得那天 你离开的画面,画面
转身之后开始了无尽的挂念,挂念
那是个充满希望而又伤感的夏天,伤感
你陪伴在我身边已整整十八年,陪伴
忍不住留下眼泪却怕被对方发现,忍不住
望着你远去的背影我舍不得眨眼,眨眼
你只不过是站在了车窗的那边,车窗
但我感觉我们之间相隔了那么远,相隔
你也曾像那些美丽的女孩一样年轻着,女孩
爱上了一个男孩你愿为他付出全心了,全心
原来爱和奉献是不需要任何原因的,奉献
再也回不到从前就像列车一直前进着,列车
这世界上也许我是最渺小的那一个,世界
后到来是你生命中最幸福的那一个,生命
我知道你的心一直在呼唤着我回家,呼唤
在那些想你的夜我也不停潸然泪下
人们有时总有一些未知的意识,未知
这种意识悄然无声的毁了他们的一世,意识
那个亲爱的突然走了甚至没有留下一字,留下
就像风悄悄吹过的在那飘扬着的旗帜,飘扬
对不起这个战场我不是合格的骑士,骑士
没有为亲爱的你展示男人的气质,气质
为什么你要不知不知悄悄的去世,不知
从此爱的世界慢慢走向下滑的趋势,下滑
每个夜里回想着我们的一幕幕趣事,趣事
前一秒的微笑换来了下一秒的泪流不止,了下
年少的我们都会有点无知,年少
但最美的就是这种爱中没有所谓的物质,爱中
你离开时世界黑暗的伸手不见五指,离开
拿起了铅笔泪滴在了素描的图纸,泪滴
刻画着你的模样脑海里仍然记忆犹新,脑海
Yeah 曾经大手拉小手,小手
让我全拥有,拥有
轮到大手牵老手可我却溜走,溜走
你们希望我毕业之后,毕业
对事业有个追求,追求
可我却不懂事的
偏要跑去当个歌手,歌手
你们做的菜总飘着香味,香味
你们几乎付出全部我无言相对,付出
每家都有本难念的经这算不算对,难念
他们说儿子是我生的我无怨无悔,儿子
当我独自放学回家,放学
你们担心我迷路,迷路
担心我的学习,学习
担心我学坏误入了歧途,学坏
是你们苦口婆心
我才上了大学,大学
可我总不去上课,上课
却爱上音乐,音乐
孩子快回头现在还不晚,回头
我说我错了可我得把这条路给走完,条路
在你们眼中
我永远是个男孩,男孩
但社会的力量早已把我锻成硬汉,锻成
我多想回家爸爸妈妈,爸爸妈妈
留多点时间和你们说说话,时间
未来的问题交给我吧,交给
你们的想法我没法回答,没法
我已经长大,长大
我不是不爱你们
我不会在外面一直漂,不会
如果我受伤眼泪曾在你们面前掉,受伤
我保持微笑遇到困难,微笑
反而激发我的小宇宙燃烧,激发
我总是失败后重来,重来
可你们等不及了头发渐渐已发白,等不及
是我太没出息,是我太
总是壮志雄心却没办法给你们交代,壮志
可怜全天下父母心,天下父母
可当你真的走了他们又怕最冷清,可当
他们常给我打电话让我回家,回家
可在电话那头的我,电话
却不知道怎么回答,回答
我思考但是从来没有结果,思考
上帝永远不会开着车在楼下等我,上帝
他不会送我一套房,套房
或者帮我介绍对象,对象
但这全是爸妈对我一生的期望,爸妈
我多想回家爸爸妈妈,爸爸妈妈
留多点时间和你们说说话,时间
未来的问题交给我吧,交给
你们的想法我没法回答,没法
我已经长大,长大
只有和你们一起才是 sweet 的 memory
只有和你们一起才是最炫的 melody
当我拿起麦克风我才变最真,麦克风
我没法放下我陷得太深,没法
我像是头脱缰的野马狂奔,脱缰
可当我回过神我已变成罪人,可当
是我太爱你,是我太
是我太惯你是我太照顾你,是我太
可孩子我可没怪你,没怪
每当我听到这些再也没法保持强硬,没法
每当我听到这些心早已碎成一地,碎成
我才发现时间是那么快,发现
不知不觉我们的角色已经变了换,角色
无论多少年后我再次回看,回看
只有这种心情永远无法再变淡,变淡
我多想回家爸爸妈妈,爸爸妈妈
留多点时间和你们说说话,时间
未来的问题交给我吧,交给
你们的想法我没法回答,没法
我已经长大,长大
小时候 你做过很多的梦吧,小时候
记得稚气未消的自己吗,未消
记得那些期待吗,期待
纸上飞翔的那一个个奇妙的梦还在吗
心潮还澎湃吗,心潮
那个梦想成为的人如今还崇拜吗,梦想
记得老师说想当宇航员的举手,宇航员
我第一次畅想遨游太空 要拥抱宇宙,遨游太空
多少个夜晚抬头 仰望浩瀚的星空,星空
那是我要去的地方没有尽头,地方
记得迷上美丽的线条和色彩,线条
一张张洁白的纸上涂绘的奇奇怪怪,涂绘
可爱的公仔 可爱的妖怪 可爱的蓝天碧海,可爱
颜料在可爱的脸蛋上留下大大的一块,脸蛋
记得第一次碰篮球 用双手去投,篮球
苦练控球 幻想穿上23号红色的公牛,控球
踩着凳子起跳扣篮 跟隔壁班叫板,扣篮
翘课就为了看总决赛的迈克尔乔丹,乔丹
当我们开始工作,工作
老人说长大了人要实际和稳妥,长大
在忙忙碌碌的人海中奔波,奔波
期盼很少 现实的压力却很多,期盼
想起从前的梦想只是微微一笑然后沉默,梦想
时间从未等待我们 想起从前的作文,作文
说长大了要做个怎样的人,了要
可转眼已是长大的人,转眼
常常丢了心 分了神 还在假装不过问,假装
还在学着怎样做人,做人
默默接受着一样的方式和标准,标准
所谓的成功好像是一样的脚本,脚本
随时都在瞄准,瞄准
不知谁画好的target 被迫去了解的market,了解
全副武装心却空空荡荡从来没有harvest,全副武装
太多时间忙碌 为了生活理想早已让步,生活理想
岁月如梭 多少次被挡路,挡路
是否当年的冲动不再 是否太多无奈,是否
