lyric,topic
帮爸爸买过烟 也帮妈妈洗过脚,成长
他开始明白小时候听的格林童话故事,成长
教会他做人告诉他滴水之恩当涌泉相报,成长
又过了5年 11岁的他懂得了人生的含义,成长
这世界告诉他生命里不只有游戏机和玩具,成长
他的初恋不喜欢他喜欢的流行歌,成长
但是他搞不懂这世界上怎么有那么多为什么,成长
14岁的他第一次叛逆离开家,成长
在他最需要帮助的时候 眼里的朋友却离开他,成长
在午夜的街头他哭着喊着想要去见家人,成长
他懂了这世界上永远为你敞开的只有家门,成长
15岁的他他奇怪 为什么眼眶会红,成长
因为他懂得了爱 也懂了什么叫疼,成长
当别人问他伤害过你的人 你作何感想,成长
他告诉他那不是伤害 那叫做成长,成长
16岁他意识到自己肩膀上的重担,成长
他不只是为自己而活因为有了太多羁绊,成长
面对家人的要求 也不在是借酒消愁,成长
而是想努力的达到,成长
不再让谁失望就把机会拿到,成长
他并不富裕但是不贫穷 虽年轻但是并不平庸,成长
他有了自己的梦想 并且想法天马行空,成长
有人告诉他无法去改变命运的编排,成长
但他不屑一顾说自己是幸运的天才,成长
当你搭上了这班生命时光列车,坚持
在轮回之前 身边的旅客越来越来,坚持
你的困惑和问题都藏在这节车厢里面,坚持
只有你自己才能找到真正的问题答案,坚持
这首歌我写给自己 也同样写给你,坚持
你是否也跟我一样有相同或差不多的经历,坚持
我想要告诉我自己奉劝我自己 千万别怕输,坚持
哪怕这世界坍塌 人生太复杂 我也不服输,坚持
那就让暴风雨下吧 像子弹打在我脸上,坚持
让别人人骂吧 我自己坚持去远航,坚持
就算给我时光隧道 重新来过我还是这样,坚持
把我压倒就怎样 只要不死我就能爬起,坚持
要做就做最大让我到达巅峰,坚持
darling为什么×2,爱情
为什么总是让我不能自己,爱情
他们说这就是爱情的甜蜜,爱情
冬天有你温暖我的手,爱情
在路灯下亲吻额头,爱情
不讲道理的妞根本没为什么,爱情
喜欢喝加冰的可乐,爱情
你说你不爱喝酒,爱情
喜欢被你拉着手,爱情
大街小巷牵着走,爱情
无理取闹的脾气都是被你宠的,爱情
你说我与生俱来的美丽只属于你呢,爱情
什么都由你说,爱情
反正都不听你的,爱情
不去想怎么过,爱情
反正时间还有很多,爱情
你说darling你别担心,爱情
你会安排好的,爱情
你想吃饱的时候都是我喂饱的,爱情
2do为什么×2,爱情
我总是把你猜不透,爱情
为什么我感觉总是被你拖着走,爱情
每次你撒气的理由,爱情
说我是气头,爱情
我承认我总是偷懒洗碗时会找借口,爱情
明白你的心Babe我会说情话,爱情
要了我的命床上再没别的她,爱情
是你特别紧才会用力抓,爱情
没有没有,爱情
我只会跟你走,爱情
也会亲吻你额头,爱情
牵手牵手,爱情
捧着你心里抖,爱情
对你把情话说个够,爱情
我说没有那么多为什么,爱情
我说没有那么多为什么,爱情
babe你别想太多,爱情
因为我是你的mr.right,爱情
从不会忘记我们纪念日,爱情
不再惹你生气对你发过的誓,爱情
玩着小游戏做我们喜欢的事,爱情
Be my shawty 为你干着大事,爱情
你说就只想我陪在你身边,爱情
我们打打闹闹嬉笑不用解释心照不宣,爱情
每天只想跟你懒呆一天,爱情
不会感到乏味每天都很新鲜,爱情
喜欢你的笑因为美若天仙,爱情
喜欢跟你抱因为可以停顿时间,爱情
口里吃着甜甜圈 把你手牵,爱情
为了你我要戒酒少抽烟 因为你讨厌,爱情
为了你我要赚上很多钱 让你买很多高跟鞋游遍全世界,爱情
和你在一起的时间总是特别快,爱情
一点都不虚假只是太可爱,爱情
想为你熬汤做一桌菜,爱情
一切开心的时候都想有你在,爱情
珍惜有你的夜晚,爱情
和朋友一起聚会有你的陪伴,爱情
为什么现在自己特别勤快,爱情
我愿意让你懒其他我也懒得管,爱情
你的姐妹一直Talk about me,失恋
不知道我表情中的含义如此亲密,失恋
说我坏至少没有心机耍雕虫小技,失恋
当你映入我眼天空变成蓝色,失恋
这是我们炽热的时候让你不再苦涩,失恋
所有我都愿意为你不会吝啬,失恋
在你未来字典只剩快乐 baby I Roll Up.,失恋
还记得那天 你离开的画面,失恋
转身之后开始了无尽的挂念,失恋
那是个充满希望而又伤感的夏天,失恋
你陪伴在我身边已整整十八年,失恋
忍不住留下眼泪却怕被对方发现,失恋
望着你远去的背影我舍不得眨眼,失恋
你只不过是站在了车窗的那边,失恋
但我感觉我们之间相隔了那么远,失恋
你也曾像那些美丽的女孩一样年轻着,失恋
爱上了一个男孩你愿为他付出全心了,失恋
原来爱和奉献是不需要任何原因的,失恋
再也回不到从前就像列车一直前进着,失恋
这世界上也许我是最渺小的那一个,失恋
后到来是你生命中最幸福的那一个,失恋
我知道你的心一直在呼唤着我回家,失恋
在那些想你的夜我也不停潸然泪下,失恋
人们有时总有一些未知的意识,失恋
这种意识悄然无声的毁了他们的一世,失恋
那个亲爱的突然走了甚至没有留下一字,失恋
就像风悄悄吹过的在那飘扬着的旗帜,失恋
对不起这个战场我不是合格的骑士,失恋
没有为亲爱的你展示男人的气质,失恋
为什么你要不知不知悄悄的去世,失恋
从此爱的世界慢慢走向下滑的趋势,失恋
每个夜里回想着我们的一幕幕趣事,失恋
前一秒的微笑换来了下一秒的泪流不止,失恋
年少的我们都会有点无知,成长
但最美的就是这种爱中没有所谓的物质,成长
你离开时世界黑暗的伸手不见五指,成长
拿起了铅笔泪滴在了素描的图纸,成长
刻画着你的模样脑海里仍然记忆犹新,成长
Yeah 曾经大手拉小手,成长
让我全拥有,成长
轮到大手牵老手可我却溜走,成长
你们希望我毕业之后,成长
对事业有个追求,成长
可我却不懂事的,成长
偏要跑去当个歌手,成长
你们做的菜总飘着香味,成长
你们几乎付出全部我无言相对,成长
每家都有本难念的经这算不算对,成长
他们说儿子是我生的我无怨无悔,成长
当我独自放学回家,成长
你们担心我迷路,成长
担心我的学习,成长
担心我学坏误入了歧途,成长
是你们苦口婆心,成长
我才上了大学,成长
可我总不去上课,成长
却爱上音乐,成长
孩子快回头现在还不晚,成长
我说我错了可我得把这条路给走完,成长
在你们眼中,成长
我永远是个男孩,成长
但社会的力量早已把我锻成硬汉,成长
我多想回家爸爸妈妈,成长
留多点时间和你们说说话,成长
未来的问题交给我吧,成长
你们的想法我没法回答,成长
我已经长大,成长
我不是不爱你们,成长
我不会在外面一直漂,成长
如果我受伤眼泪曾在你们面前掉,成长
我保持微笑遇到困难,成长
反而激发我的小宇宙燃烧,成长
我总是失败后重来,成长
可你们等不及了头发渐渐已发白,成长
是我太没出息,成长
总是壮志雄心却没办法给你们交代,成长
可怜全天下父母心,成长
可当你真的走了他们又怕最冷清,成长
他们常给我打电话让我回家,成长
可在电话那头的我,成长
却不知道怎么回答,成长
我思考但是从来没有结果,成长
上帝永远不会开着车在楼下等我,成长
他不会送我一套房,成长
或者帮我介绍对象,成长
但这全是爸妈对我一生的期望,成长
我多想回家爸爸妈妈,成长
留多点时间和你们说说话,成长
未来的问题交给我吧,成长
你们的想法我没法回答,成长
我已经长大,成长
只有和你们一起才是 sweet 的 memory,成长
只有和你们一起才是最炫的 melody,成长
我才发现时间是那么快,亲情
不知不觉我们的角色已经变了换,亲情
无论多少年后我再次回看,亲情
只有这种心情永远无法再变淡,亲情
我多想回家爸爸妈妈,亲情
留多点时间和你们说说话,亲情
未来的问题交给我吧,回忆
你们的想法我没法回答,回忆
我已经长大,回忆
小时候 你做过很多的梦吧,回忆
记得稚气未消的自己吗,回忆
记得那些期待吗,回忆
纸上飞翔的那一个个奇妙的梦还在吗,回忆
心潮还澎湃吗,回忆
那个梦想成为的人如今还崇拜吗,回忆
记得老师说想当宇航员的举手,回忆
我第一次畅想遨游太空 要拥抱宇宙,回忆
多少个夜晚抬头 仰望浩瀚的星空,回忆
那是我要去的地方没有尽头,回忆
记得迷上美丽的线条和色彩,回忆
一张张洁白的纸上涂绘的奇奇怪怪,回忆
可爱的公仔 可爱的妖怪 可爱的蓝天碧海,回忆
颜料在可爱的脸蛋上留下大大的一块,回忆
记得第一次碰篮球 用双手去投,回忆
苦练控球 幻想穿上23号红色的公牛,回忆
踩着凳子起跳扣篮 跟隔壁班叫板,回忆
翘课就为了看总决赛的迈克尔乔丹,回忆
当我们开始工作,生活
老人说长大了人要实际和稳妥,生活
在忙忙碌碌的人海中奔波,生活
期盼很少 现实的压力却很多,生活
想起从前的梦想只是微微一笑然后沉默,生活
时间从未等待我们 想起从前的作文,生活
说长大了要做个怎样的人,生活
可转眼已是长大的人,生活
常常丢了心 分了神 还在假装不过问,生活
还在学着怎样做人,生活
默默接受着一样的方式和标准,生活
所谓的成功好像是一样的脚本,生活
随时都在瞄准,生活
不知谁画好的target 被迫去了解的market,生活
全副武装心却空空荡荡从来没有harvest,生活
太多时间忙碌 为了生活理想早已让步,生活
岁月如梭 多少次被挡路,生活
是否当年的冲动不再 是否太多无奈,回忆
是否坚持的日子好难捱,回忆
是否还和兄弟唱着那首老男孩,回忆
年近三十 我仍然梦想有机会展示,回忆
我的音乐给全世界 在最大的舞台上鞠躬致谢,回忆
也许来的迟些 也许已过去不知多少个日夜,回忆
但永不放手 这是我梦想的事业,回忆
That's why 当他们说让我放弃 我微笑,回忆
That's why 当他们要对我打击 我祈祷,回忆
命运若要 让人熬 岁月若要 陪人老,回忆
任人说笑 只为心中那蓄势待烧的火苗,回忆
Dun give up on your dream 别放弃,回忆
就算路途遥远被忘记 就算要浪迹,回忆
天涯也值得去闯 那个曾被取笑的年少轻狂,回忆
历经挫折后又再次背上行囊 出发,回忆
幻想数年后海角天涯,回忆
会有多少个城市辗转飞过,回忆
多少个夜无法入睡过,回忆
错过对过 流泪过 敌对过 真心疲惫过,回忆
但从未悔过 因为这个梦我曾经追过,回忆
这条路我跟你走的可不一样,diss
千万别拿我和你做比较这不提倡,diss
说真的认真做的又有几个my boy,diss
和你同样活在南边却能颠覆你的观念,diss
狠的Verse开辟对梦想之路的专线,diss
总有天我的歌将攻入那干净的商店,diss
那个不起眼的家伙现在能变成了关键,diss
尽管骗自己你的眼睛骗不了你,diss
累倒在困境里的家伙他早已经爬起,diss
从19已经到达21 演变成了Yee,diss
不谈励志 只想反驳你当初说的是屁,diss
我不懂你的意思 也不插手屁事,diss
歌词当不了清流也能展示我的意志,diss
我需要的是清醒的头脑,diss
让大家听清我说什么,diss
我知道我想要的 所以从未害怕恐吓,diss
谢谢21 我看清太多的你,失恋
谢谢21 我承认是我爱过了你,失恋
谢谢21 我知道有人恨透了你,失恋
马上22 你的离开也变的合理,失恋
谢谢21 是我看清了太多的你,失恋
谢谢21 我承认是我爱过了你,失恋
谢谢21 我知道有人恨透了你,失恋
马上22 你的离开也变的合理,失恋
谢谢时间 让你敷衍的老练,失恋
唯心主义在我周围间断给我表现,失恋
接受着未命名的考验,失恋
只有笔和纸在我的旁边,失恋
不得不说有些爱被裹上一层层的讨厌,失恋
既然已经离去 就不用说Come back,失恋
那些琐事像学生书本撕碎后扔到窗外,失恋
我也很自私的守着你说的那支破麦,失恋
你发现我的声音周围多了几双耳朵,失恋
直到你明白歌词是我曾经和你讲过,失恋
但已经晚了 我后视镜已看不到你,失恋
一路跌跌撞撞,失恋
21的一切没能让我乱了方向,失恋
我不在舞台依然没打扰我保持说唱,失恋
夜里只有节奏继续和不眠的空床,失恋
你不会明白这些 因为我走到了今天,失恋
我知道我的付出不会只有失望这些,失恋
你也许没有想到 但我已提前想到,失恋
我的经历和对你的爱永远不会仿冒,失恋
我用歌词来转告 因为没必要当面,失恋
拥抱没法改变你曾把感情当成枪械,失恋
22他不被利用,失恋
真心是该要器重,失恋
弃子争先,失恋
但这次谁都不被戏弄,失恋
谢谢21 我看清太多的你,失恋
谢谢21 我承认爱过了你,失恋
谢谢21 有人曾恨透了你,失恋
马上22 你的离开也合理,失恋
谢谢21 我看清太多的你,失恋
谢谢21 我承认爱过了你,失恋
谢谢21 有人曾恨透了你,失恋
马上22 你的离开也合理,失恋
火烧了错过怕寒冬会带来落寞,失恋
大火将至又怎畏惧零星唾沫,失恋
还给你满腔热血让你不再哆嗦,失恋
面对语言龌龊,失恋
脱下虚伪先告别懦弱,失恋
21在长沙幸运绳并不阔绰,失恋
只好先麻醉自己不再会有困惑,失恋
留下你想不到的伏笔,失恋
